modelName,Q4 2022,Q4 2021
Volkswagen Arteon,237,672
Volkswagen Atlas,3375,14655
Volkswagen Atlas Sport,1992,9216
Volkswagen Golf,321,810
Volkswagen ID.4,4056,4464
Volkswagen Jetta,1047,9246
Volkswagen Passat,0,7893
Volkswagen Taos,3534,13638
Volkswagen Tiguan,7740,24744
Volvo 60-Series,2015,4433
Volvo 90-Series,417,302
Volvo C40,1403,42
Volvo XC40,6739,4713
Volvo XC60,10428,9999
Volvo XC90,8820,8560
